year,age,age2,Class1 Heavy,Class1 Ordinary,Class2 Ordinary,Class2 small
2019,19,20,613,115990,102608,208
2019,20,20,2705,134752,133834,216
2019,21,20,7257,154324,169976,166
2019,22,20,12519,184407,208031,213
2019,23,20,15415,202303,234212,277
2019,24,20,18814,225200,257384,263
2019,25,20,21457,246015,270081,263
2019,26,20,23784,266031,274176,244
2019,27,20,25870,290457,278348,265
2019,28,20,26529,290923,275874,224
2019,29,20,24915,280003,252991,181
2019,30,30,24926,283855,252410,184
2019,31,30,24804,295800,245012,162
2019,32,30,25167,300253,239530,148
2019,33,30,26834,318172,233116,158
2019,34,30,30047,341734,229488,172
2019,35,30,31209,359065,221926,157
2019,36,30,38869,418070,235438,176
2019,37,30,44991,468496,247153,173
2019,38,30,48111,484801,243433,183
2019,39,30,49802,485081,238411,180
2020,19,20,729,112365,109397,180
2020,20,20,3096,143684,156613,243
2020,21,20,7723,148759,175292,264
2020,22,20,12819,165957,208607,214
2020,23,20,16137,192664,241373,301
2020,24,20,18264,208872,263078,344
2020,25,20,21487,230108,283466,330
2020,26,20,23970,249077,291867,310
2020,27,20,25989,267579,291873,293
2020,28,20,28045,291295,293997,292
2020,29,20,28548,291220,288561,249
2020,30,30,26588,280108,262657,202
2020,31,30,26404,283771,260536,202
2020,32,30,26125,295667,252035,184
2020,33,30,26398,300034,245632,158
2020,34,30,28092,317697,238424,172
2020,35,30,31310,341256,233959,173
2020,36,30,32485,358596,225802,161
2020,37,30,40301,417799,238711,183
2020,38,30,46465,468213,249927,187
2020,39,30,49557,484485,245610,182
2021,19,20,768,106683,99210,175
2021,20,20,3240,135929,155273,238
2021,21,20,8676,159151,200219,325
2021,22,20,13481,161308,216097,346
2021,23,20,16490,175479,245633,305
2021,24,20,19121,198728,272085,355
2021,25,20,20958,213853,290082,397
2021,26,20,24027,233467,307248,371
2021,27,20,26266,251065,311342,362
2021,28,20,28011,268222,308150,328
2021,29,20,29937,291474,308041,328
2021,30,30,30241,291199,300348,266
2021,31,30,28070,279897,271914,231
2021,32,30,27721,283240,268347,206
2021,33,30,27322,295163,258846,197
2021,34,30,27480,299518,251488,178
2021,35,30,29219,316995,243455,191
2021,36,30,32466,340447,238306,192
2021,37,30,33617,357783,229571,167
2021,38,30,41603,416795,242274,201
2021,39,30,47811,466986,253248,192
2022,19,20,640,105295,101140,237
2022,20,20,2620,124907,135071,220
2022,21,20,7482,144951,184374,299
2022,22,20,13384,168627,234177,374
2022,23,20,16086,168333,246654,352
2022,24,20,18552,180614,271301,361
2022,25,20,21047,202551,294686,414
2022,26,20,22684,216496,309775,446
2022,27,20,25669,235247,324420,418
2022,28,20,27851,251813,326613,390
2022,29,20,29446,268364,320738,342
2022,30,30,31312,291196,319142,352
2022,31,30,31472,290777,309799,296
2022,32,30,29151,279564,279666,244
2022,33,30,28645,282848,275049,211
2022,34,30,28257,294624,264700,206
2022,35,30,28316,299083,256800,179
2022,36,30,30170,316260,247900,202
2022,37,30,33423,339756,242310,206
2022,38,30,34582,357064,232748,172
2022,39,30,42610,416056,245141,199
2023,19,20,624,90514,94918,298
2023,20,20,2574,120853,133672,269
2023,21,20,7018,131101,157764,262
2023,22,20,11987,150207,208163,360
2023,23,20,16130,173977,260923,438
2023,24,20,17878,172327,269016,416
2023,25,20,20208,183975,291151,414
2023,26,20,22614,204782,312375,440
2023,27,20,24187,218005,325148,467
2023,28,20,27038,236134,338188,447
2023,29,20,29182,251993,338906,390
2023,30,30,30619,268025,331139,361
2023,31,30,32461,290841,328616,364
2023,32,30,32592,290340,317979,316
2023,33,30,30155,278983,286549,264
2023,34,30,29627,282184,281034,225
2023,35,30,29195,293974,269935,193
2023,36,30,29244,298263,261598,191
2023,37,30,31143,315395,251953,205
2023,38,30,34370,338866,245947,207
2023,39,30,35606,356160,235898,181
