age,age2,2019,2020,2021,2022,2023
19,20,222602,224932,208437,208793,187952
20,20,274358,306446,296718,264166,258685
21,20,334025,334662,371058,338938,297382
22,20,407544,389760,393650,418965,372402
23,20,454737,452722,440058,433535,453635
24,20,504303,492927,492427,472820,461581
25,20,540063,537839,527536,520639,497604
26,20,566066,567335,567317,551456,541997
27,20,596583,587474,590991,587777,569686
28,20,595097,615206,606356,608485,603652
29,20,559503,610032,631280,620436,622184
30,30,562758,570894,623448,643431,631623
31,30,567158,572244,581433,633679,653675
32,30,566504,575356,580821,589883,642527
33,30,579769,573585,582844,588027,597172
34,30,602933,585842,580032,589092,594327
35,30,613950,608160,591320,585741,594580
36,30,694134,618617,612848,595975,590635
37,30,762603,698581,622738,617125,600126
38,30,778153,766562,702492,626144,620824
39,30,775058,781463,769982,705631,629416
